episode : 0 | score_avg : 11 | loss : 26.10138511657715 | done : True
episode : 1 | score_avg : 7.2 | loss : 0.943186342716217 | done : True
episode : 2 | score_avg : 7.78 | loss : 3.2709877490997314 | done : True
episode : 3 | score_avg : 9.002 | loss : 2.498826503753662 | done : True
episode : 4 | score_avg : 9.6018 | loss : 5.439423084259033 | done : True
episode : 5 | score_avg : 9.991620000000001 | loss : 7.701690196990967 | done : True
episode : 6 | score_avg : 10.092458 | loss : 26.422908782958984 | done : True
episode : 7 | score_avg : 10.283212200000001 | loss : 13.317879676818848 | done : True
episode : 8 | score_avg : 10.804890980000001 | loss : 4.79542350769043 | done : True
episode : 9 | score_avg : 10.874401882000003 | loss : 17.581762313842773 | done : True
episode : 10 | score_avg : 10.836961693800003 | loss : 2.8674116134643555 | done : True
episode : 11 | score_avg : 10.853265524420003 | loss : 26.31080436706543 | done : True
episode : 12 | score_avg : 11.117938971978003 | loss : 3.5911638736724854 | done : True
episode : 13 | score_avg : 11.406145074780204 | loss : 7.5247578620910645 | done : True
episode : 14 | score_avg : 11.765530567302184 | loss : 4.4295196533203125 | done : True
episode : 15 | score_avg : 11.788977510571964 | loss : 13.273279190063477 | done : True
episode : 16 | score_avg : 11.410079759514769 | loss : 3.368114709854126 | done : True
episode : 17 | score_avg : 10.769071783563293 | loss : 2.463749408721924 | done : True
episode : 18 | score_avg : 10.842164605206964 | loss : 16.900127410888672 | done : True
episode : 19 | score_avg : 10.957948144686267 | loss : 3.6376378536224365 | done : True
episode : 20 | score_avg : 11.162153330217642 | loss : 4.55293083190918 | done : True
episode : 21 | score_avg : 11.645937997195878 | loss : 3.943082571029663 | done : True
episode : 22 | score_avg : 11.58134419747629 | loss : 25.648483276367188 | done : True
episode : 23 | score_avg : 11.42320977772866 | loss : 3.333111047744751 | done : True
episode : 24 | score_avg : 11.880888799955795 | loss : 4.893028736114502 | done : True
episode : 25 | score_avg : 11.292799919960215 | loss : 3.064377546310425 | done : True
episode : 26 | score_avg : 11.563519927964194 | loss : 4.713872909545898 | done : True
episode : 27 | score_avg : 11.557167935167776 | loss : 17.606889724731445 | done : True
episode : 28 | score_avg : 11.651451141650998 | loss : 10.19984245300293 | done : True
episode : 29 | score_avg : 11.2863060274859 | loss : 2.9211270809173584 | done : True
episode : 30 | score_avg : 11.50767542473731 | loss : 7.573119640350342 | done : True
episode : 31 | score_avg : 11.55690788226358 | loss : 13.237262725830078 | done : True
episode : 32 | score_avg : 11.701217094037224 | loss : 8.502060890197754 | done : True
episode : 33 | score_avg : 11.581095384633503 | loss : 3.405320882797241 | done : True
episode : 34 | score_avg : 11.972985846170154 | loss : 4.873397350311279 | done : True
episode : 35 | score_avg : 12.32568726155314 | loss : 5.354269504547119 | done : True
episode : 36 | score_avg : 12.893118535397827 | loss : 4.275981426239014 | done : True
episode : 37 | score_avg : 13.103806681858044 | loss : 5.1411452293396 | done : True
episode : 38 | score_avg : 12.843426013672241 | loss : 3.396394968032837 | done : True
episode : 39 | score_avg : 12.659083412305018 | loss : 25.445566177368164 | done : True
episode : 40 | score_avg : 12.843175071074516 | loss : 5.7992472648620605 | done : True
