episode : 0 | score_avg : 46.0 | loss : 0.28636494278907776 | done : True
episode : 1 | score_avg : 42.55 | loss : 0.6283980011940002 | done : True
episode : 2 | score_avg : 39.395 | loss : 95.5653076171875 | done : True
episode : 3 | score_avg : 35.3555 | loss : 5.142390727996826 | done : True
episode : 4 | score_avg : 33.46995 | loss : 7.0376434326171875 | done : True
episode : 5 | score_avg : 31.472955 | loss : 5.5448198318481445 | done : True
episode : 6 | score_avg : 29.2756595 | loss : 3.3190033435821533 | done : True
episode : 7 | score_avg : 27.49809355 | loss : 12.688675880432129 | done : True
episode : 8 | score_avg : 25.848284195 | loss : 18.575101852416992 | done : True
episode : 9 | score_avg : 24.1634557755 | loss : 4.46584415435791 | done : True
episode : 10 | score_avg : 23.04711019795 | loss : 12.138495445251465 | done : True
episode : 11 | score_avg : 22.192399178155 | loss : 3.8575761318206787 | done : True
episode : 12 | score_avg : 21.1231592603395 | loss : 3.969752550125122 | done : True
episode : 13 | score_avg : 19.61084333430555 | loss : 3.113255262374878 | done : True
episode : 14 | score_avg : 18.849759000874993 | loss : 15.086871147155762 | done : True
episode : 15 | score_avg : 18.214783100787493 | loss : 7.9818115234375 | done : True
episode : 16 | score_avg : 17.643304790708743 | loss : 5.993688106536865 | done : True
episode : 17 | score_avg : 16.72897431163787 | loss : 1.2512452602386475 | done : True
episode : 18 | score_avg : 16.356076880474085 | loss : 14.170997619628906 | done : True
episode : 19 | score_avg : 16.32046919242668 | loss : 2.026919364929199 | done : True
episode : 20 | score_avg : 16.088422273184012 | loss : 8.597206115722656 | done : True
episode : 21 | score_avg : 15.07958004586561 | loss : 1.7096654176712036 | done : True
episode : 22 | score_avg : 14.32162204127905 | loss : 1.5095454454421997 | done : True
episode : 23 | score_avg : 13.889459837151145 | loss : 22.248899459838867 | done : True
episode : 24 | score_avg : 13.950513853436032 | loss : 1.9996263980865479 | done : True
episode : 25 | score_avg : 13.05546246809243 | loss : 4.598350524902344 | done : True
episode : 26 | score_avg : 12.749916221283186 | loss : 73.74603271484375 | done : True
episode : 27 | score_avg : 12.424924599154867 | loss : 3.4372761249542236 | done : True
episode : 28 | score_avg : 12.38243213923938 | loss : 7.41121244430542 | done : True
episode : 29 | score_avg : 12.694188925315444 | loss : 3.798609733581543 | done : True
episode : 30 | score_avg : 12.4247700327839 | loss : 26.83251190185547 | done : True
episode : 31 | score_avg : 12.43229302950551 | loss : 5.888210296630859 | done : True
episode : 32 | score_avg : 12.289063726554959 | loss : 18.814050674438477 | done : True
