episode : 0 | score_avg : -11.5 | loss : 2.1433658599853516 | done : True
episode : 1 | score_avg : -9.9 | loss : 2.790764808654785 | done : True
episode : 2 | score_avg : -7.41 | loss : 3.71105694770813 | done : True
episode : 3 | score_avg : -5.119000000000001 | loss : 6.504631519317627 | done : True
episode : 4 | score_avg : -2.9571000000000005 | loss : 1.5236968994140625 | done : True
episode : 5 | score_avg : -1.1113900000000003 | loss : 5.092949867248535 | done : True
episode : 6 | score_avg : -0.3502510000000002 | loss : 3.1250863075256348 | done : True
episode : 7 | score_avg : 1.0847741 | loss : 2.6290926933288574 | done : True
episode : 8 | score_avg : 2.47629669 | loss : 2.5110230445861816 | done : True
episode : 9 | score_avg : 3.728667021 | loss : 1.8274708986282349 | done : True
episode : 10 | score_avg : 3.5558003189000003 | loss : 1.5939991474151611 | done : True
episode : 11 | score_avg : 4.600220287010001 | loss : 9.193212509155273 | done : True
episode : 12 | score_avg : 5.390198258309001 | loss : 7.671013832092285 | done : True
episode : 13 | score_avg : 6.3511784324781 | loss : 5.5716328620910645 | done : True
episode : 14 | score_avg : 6.8160605892302915 | loss : 18.50440788269043 | done : True
episode : 15 | score_avg : 7.4844545303072625 | loss : 4.538206577301025 | done : True
episode : 16 | score_avg : 7.186009077276537 | loss : 1.6490298509597778 | done : True
episode : 17 | score_avg : 7.417408169548883 | loss : 4.481688499450684 | done : True
episode : 18 | score_avg : 7.925667352593996 | loss : 17.076019287109375 | done : True
episode : 19 | score_avg : 8.033100617334597 | loss : 2.248811960220337 | done : True
episode : 20 | score_avg : 8.179790555601137 | loss : 3.883124351501465 | done : True
episode : 21 | score_avg : 8.761811500041023 | loss : 4.030442237854004 | done : True
episode : 22 | score_avg : 9.185630350036922 | loss : 9.833831787109375 | done : True
episode : 23 | score_avg : 8.96706731503323 | loss : 3.360227346420288 | done : True
episode : 24 | score_avg : 9.220360583529908 | loss : 17.891080856323242 | done : True
episode : 25 | score_avg : 9.398324525176918 | loss : 24.628862380981445 | done : True
