episode : 0 | score_avg : -484.5 | loss : 0.15374265611171722 | done : False
episode : 1 | score_avg : -496.15000000000003 | loss : 10.217391967773438 | done : False
episode : 2 | score_avg : -506.63500000000005 | loss : 10.30030345916748 | done : False
episode : 0 | score_avg : -601 | loss : 10.214071273803711 | done : False
episode : 0 | score_avg : -487.5 | loss : 0.13507622480392456 | done : False
episode : 1 | score_avg : -498.85 | loss : 10.138602256774902 | done : False
episode : 2 | score_avg : -509.06500000000005 | loss : 10.32050895690918 | done : False
episode : 3 | score_avg : -518.2585 | loss : 10.252615928649902 | done : False
episode : 0 | score_avg : -466.5 | loss : 0.17929676175117493 | done : False
episode : 1 | score_avg : -446.40000000000003 | loss : 0.20337750017642975 | done : False
episode : 2 | score_avg : -448.86000000000007 | loss : 0.254300057888031 | done : False
episode : 3 | score_avg : -464.07400000000007 | loss : 10.53919506072998 | done : False
episode : 4 | score_avg : -477.7666000000001 | loss : 10.380017280578613 | done : False
episode : 5 | score_avg : -424.8899400000001 | loss : 0.250733882188797 | done : False
episode : 0 | score_avg : -388.5 | loss : 0.148296058177948 | done : False
episode : 1 | score_avg : -360.90000000000003 | loss : 0.2244756519794464 | done : False
episode : 2 | score_avg : -344.61000000000007 | loss : 0.19377121329307556 | done : False
episode : 3 | score_avg : -288.2490000000001 | loss : 0.31263476610183716 | done : False
episode : 4 | score_avg : -246.67410000000007 | loss : 0.28803321719169617 | done : False
episode : 5 | score_avg : -201.45669000000007 | loss : 0.29925140738487244 | done : False
episode : 6 | score_avg : -160.96102100000007 | loss : 0.34884729981422424 | done : False
episode : 7 | score_avg : -121.61491890000008 | loss : 0.30655795335769653 | done : False
episode : 8 | score_avg : -87.10342701000008 | loss : 0.29640787839889526 | done : False
episode : 9 | score_avg : -66.24308430900007 | loss : 0.27765804529190063 | done : False
episode : 10 | score_avg : -45.818775878100055 | loss : 0.2763940989971161 | done : False
episode : 11 | score_avg : -18.73689829029005 | loss : 0.2459305375814438 | done : False
episode : 0 | score_avg : -601 | loss : 10.215529441833496 | done : False
episode : 1 | score_avg : -601.0 | loss : 10.038045883178711 | done : False
episode : 2 | score_avg : -588.0 | loss : 0.37478724122047424 | done : False
episode : 3 | score_avg : -589.3000000000001 | loss : 10.508455276489258 | done : False
episode : 4 | score_avg : -572.2200000000001 | loss : 0.207666277885437 | done : False
episode : 0 | score_avg : -601 | loss : 10.097743034362793 | done : False
episode : 1 | score_avg : -588.4499999999999 | loss : 0.11933468282222748 | done : False
episode : 2 | score_avg : -508.1549999999999 | loss : 0.22416996955871582 | done : False
episode : 3 | score_avg : -432.7394999999999 | loss : 0.10762597620487213 | done : False
episode : 4 | score_avg : -364.26554999999996 | loss : 3.7430672645568848 | done : False
episode : 5 | score_avg : -304.438995 | loss : 0.04797181487083435 | done : False
episode : 6 | score_avg : -288.6950955 | loss : 0.2877160608768463 | done : False
episode : 7 | score_avg : -240.47558595 | loss : 0.37114590406417847 | done : False
episode : 8 | score_avg : -192.428027355 | loss : 0.06029818579554558 | done : False
episode : 9 | score_avg : -148.1352246195 | loss : -0.025098545476794243 | done : False
episode : 10 | score_avg : -108.57170215755002 | loss : -0.04279451444745064 | done : False
episode : 11 | score_avg : -72.66453194179502 | loss : -0.05637570470571518 | done : False
episode : 12 | score_avg : -50.54807874761551 | loss : 1.0164095163345337 | done : False
episode : 0 | score_avg : -421.5 | loss : 0.03482408449053764 | done : False
episode : 1 | score_avg : -407.70000000000005 | loss : -0.04522883892059326 | done : False
episode : 2 | score_avg : -395.83000000000004 | loss : -0.03855343908071518 | done : False
episode : 3 | score_avg : -383.64700000000005 | loss : -0.0525084026157856 | done : False
