episode : 0 | score_avg : 184.5 | loss : 0.21451015770435333 | done : False
episode : 0 | score_avg : -601 | loss : 10.101887702941895 | done : False
episode : 1 | score_avg : -552.3 | loss : 0.08054184913635254 | done : False
episode : 2 | score_avg : -474.27 | loss : 0.11469480395317078 | done : False
episode : 3 | score_avg : -486.94300000000004 | loss : 10.476268768310547 | done : False
episode : 4 | score_avg : -427.29870000000005 | loss : 0.2713927924633026 | done : False
episode : 5 | score_avg : -386.66883000000007 | loss : 0.13955986499786377 | done : False
episode : 6 | score_avg : -378.15194700000006 | loss : 0.2259346842765808 | done : False
episode : 7 | score_avg : -332.53675230000005 | loss : 0.16455203294754028 | done : False
episode : 8 | score_avg : -287.88307707000007 | loss : 0.1490490883588791 | done : False
episode : 9 | score_avg : -241.69476936300006 | loss : 0.09013044834136963 | done : False
episode : 10 | score_avg : -224.12529242670004 | loss : 0.26424747705459595 | done : False
episode : 11 | score_avg : -192.41276318403004 | loss : 0.13436028361320496 | done : False
episode : 12 | score_avg : -203.77148686562703 | loss : 0.2871182858943939 | done : False
episode : 13 | score_avg : -158.34433817906432 | loss : 0.004199904389679432 | done : False
episode : 14 | score_avg : -129.1599043611579 | loss : 0.2217872589826584 | done : False
episode : 15 | score_avg : -102.89391392504211 | loss : 0.10055746138095856 | done : False
episode : 16 | score_avg : -77.3045225325379 | loss : 0.3267209529876709 | done : False
episode : 17 | score_avg : -44.52407027928412 | loss : -0.026527108624577522 | done : False
episode : 18 | score_avg : -15.471663251355707 | loss : -0.020176993682980537 | done : False
episode : 19 | score_avg : 2.7255030737798656 | loss : 0.06203682720661163 | done : False
episode : 0 | score_avg : 14.0 | loss : 0.20848530530929565 | done : False
episode : 1 | score_avg : -21.450000000000003 | loss : 0.028542904183268547 | done : False
episode : 2 | score_avg : -14.505000000000003 | loss : 0.23485885560512543 | done : False
episode : 3 | score_avg : -42.4545 | loss : 0.34944114089012146 | done : False
episode : 4 | score_avg : -13.159050000000004 | loss : 0.022985821589827538 | done : False
episode : 5 | score_avg : -71.943145 | loss : 9.935686111450195 | done : False
episode : 0 | score_avg : -489.0 | loss : 0.0327715240418911 | done : False
episode : 1 | score_avg : -481.95000000000005 | loss : 0.05901515856385231 | done : False
episode : 2 | score_avg : -480.4050000000001 | loss : 0.007587630767375231 | done : False
episode : 3 | score_avg : -492.4645000000001 | loss : 10.043330192565918 | done : False
episode : 4 | score_avg : -503.31805000000014 | loss : 9.867094039916992 | done : False
episode : 5 | score_avg : -499.1862450000001 | loss : 0.018497761338949203 | done : False
episode : 6 | score_avg : -509.3676205000001 | loss : 10.036872863769531 | done : False
episode : 7 | score_avg : -518.5308584500001 | loss : 10.00432014465332 | done : False
episode : 8 | score_avg : -516.3277726050001 | loss : 0.002015970414504409 | done : False
episode : 0 | score_avg : -601 | loss : 10.148600578308105 | done : False
episode : 1 | score_avg : -557.65 | loss : 0.10893981903791428 | done : False
episode : 2 | score_avg : -482.235 | loss : 0.14873051643371582 | done : False
episode : 3 | score_avg : -494.11150000000004 | loss : 10.032379150390625 | done : False
episode : 4 | score_avg : -504.80035000000004 | loss : 10.03636360168457 | done : False
episode : 5 | score_avg : -436.9203150000001 | loss : 0.10047322511672974 | done : False
episode : 6 | score_avg : -453.3282835000001 | loss : 9.96738338470459 | done : False
episode : 7 | score_avg : -384.1454551500001 | loss : 0.04748497158288956 | done : False
episode : 8 | score_avg : -375.8809096350001 | loss : 0.35271942615509033 | done : False
episode : 9 | score_avg : -398.3928186715001 | loss : 10.035435676574707 | done : False
episode : 10 | score_avg : -333.50353680435006 | loss : 0.9144723415374756 | done : False
episode : 11 | score_avg : -284.7031831239151 | loss : 0.08323024958372116 | done : False
episode : 12 | score_avg : -250.2328648115236 | loss : 0.16089533269405365 | done : False
episode : 13 | score_avg : -200.15957833037123 | loss : -0.006481520365923643 | done : False
episode : 14 | score_avg : -240.24362049733412 | loss : 10.956727027893066 | done : False
episode : 15 | score_avg : -221.9192584476007 | loss : 0.375776082277298 | done : False
episode : 16 | score_avg : -184.12733260284062 | loss : 0.12026321887969971 | done : False
episode : 17 | score_avg : -141.26459934255655 | loss : 0.06210951879620552 | done : False
