episode : 0 | score_avg : -601 | loss : 10.146374702453613 | done : False
episode : 1 | score_avg : -567.25 | loss : 0.11846338957548141 | done : False
episode : 2 | score_avg : -548.5250000000001 | loss : -0.016509275883436203 | done : False
episode : 3 | score_avg : -553.7725 | loss : 10.1560697555542 | done : False
episode : 4 | score_avg : -540.69525 | loss : -0.013283793814480305 | done : False
episode : 5 | score_avg : -535.125725 | loss : 0.025806047022342682 | done : False
episode : 6 | score_avg : -530.7631525 | loss : 0.01513777207583189 | done : False
episode : 7 | score_avg : -521.43683725 | loss : 0.002282880712300539 | done : False
episode : 8 | score_avg : -512.843153525 | loss : 0.1914258897304535 | done : False
episode : 9 | score_avg : -501.15883817250005 | loss : 0.22750283777713776 | done : False
episode : 10 | score_avg : -479.29295435525006 | loss : 0.15489822626113892 | done : False
episode : 11 | score_avg : -461.3636589197251 | loss : 0.20073357224464417 | done : False
episode : 12 | score_avg : -459.0772930277526 | loss : 0.2672548294067383 | done : False
episode : 13 | score_avg : -438.2195637249774 | loss : 0.08298099786043167 | done : False
episode : 14 | score_avg : -433.7476073524797 | loss : 0.0752163752913475 | done : False
episode : 15 | score_avg : -433.57284661723173 | loss : 0.7914530634880066 | done : False
episode : 16 | score_avg : -419.36556195550855 | loss : 0.06690173596143723 | done : False
episode : 17 | score_avg : -405.4790057599577 | loss : 0.2579740285873413 | done : False
episode : 18 | score_avg : -425.031105183962 | loss : 10.208887100219727 | done : False
episode : 19 | score_avg : -427.8279946655658 | loss : 0.12915940582752228 | done : False
episode : 20 | score_avg : -445.14519519900927 | loss : 10.05499267578125 | done : False
episode : 21 | score_avg : -449.7806756791083 | loss : 0.13546450436115265 | done : False
episode : 22 | score_avg : -464.9026081111975 | loss : 10.078007698059082 | done : False
episode : 23 | score_avg : -462.4123473000777 | loss : 0.01759927347302437 | done : False
episode : 24 | score_avg : -476.27111257007 | loss : 9.957843780517578 | done : False
episode : 25 | score_avg : -488.744001313063 | loss : 10.025994300842285 | done : False
episode : 26 | score_avg : -483.2696011817567 | loss : -0.018960027024149895 | done : False
episode : 27 | score_avg : -459.99264106358106 | loss : 0.002273566322401166 | done : False
episode : 28 | score_avg : -462.343376957223 | loss : 0.2315293550491333 | done : False
episode : 29 | score_avg : -441.1590392615007 | loss : 0.05334791541099548 | done : False
episode : 30 | score_avg : -436.6431353353507 | loss : 0.23538292944431305 | done : False
episode : 31 | score_avg : -453.07882180181565 | loss : 10.100839614868164 | done : False
episode : 32 | score_avg : -455.4709396216341 | loss : 0.29008719325065613 | done : False
episode : 33 | score_avg : -454.9738456594707 | loss : 0.35714709758758545 | done : False
episode : 34 | score_avg : -451.3264610935237 | loss : 0.07142429798841476 | done : False
episode : 35 | score_avg : -451.2938149841713 | loss : 0.2363402247428894 | done : False
episode : 36 | score_avg : -466.26443348575424 | loss : 9.975872993469238 | done : False
episode : 37 | score_avg : -465.4879901371788 | loss : 0.04119085520505905 | done : False
episode : 38 | score_avg : -479.03919112346097 | loss : 10.067031860351562 | done : False
episode : 39 | score_avg : -478.7352720111149 | loss : -0.01951642893254757 | done : False
episode : 40 | score_avg : -475.96174481000344 | loss : 0.38463473320007324 | done : False
episode : 41 | score_avg : -464.0155703290031 | loss : 0.05032267048954964 | done : False
episode : 42 | score_avg : -442.6640132961028 | loss : 0.35170894861221313 | done : False
episode : 43 | score_avg : -458.4976119664925 | loss : 9.977535247802734 | done : False
episode : 44 | score_avg : -458.6978507698433 | loss : 0.14945150911808014 | done : False
episode : 45 | score_avg : -472.928065692859 | loss : 10.007793426513672 | done : False
episode : 46 | score_avg : -450.83525912357305 | loss : 0.18116611242294312 | done : False
episode : 47 | score_avg : -465.8517332112158 | loss : 10.175863265991211 | done : False
episode : 48 | score_avg : -455.56655989009425 | loss : 0.700375497341156 | done : False
episode : 49 | score_avg : -453.25990390108484 | loss : 0.3556457757949829 | done : False
episode : 50 | score_avg : -468.0339135109764 | loss : 10.055927276611328 | done : False
episode : 51 | score_avg : -469.4805221598788 | loss : 0.06910927593708038 | done : False
episode : 52 | score_avg : -457.9824699438909 | loss : 0.5816227793693542 | done : False
episode : 53 | score_avg : -449.7342229495018 | loss : 0.056297797709703445 | done : False
episode : 54 | score_avg : -446.06080065455166 | loss : 0.4669177532196045 | done : False
episode : 55 | score_avg : -430.0547205890965 | loss : 0.23169369995594025 | done : False
episode : 56 | score_avg : -447.1492485301869 | loss : 9.947854995727539 | done : False
episode : 57 | score_avg : -432.83432367716824 | loss : 0.20269086956977844 | done : False
episode : 58 | score_avg : -418.9008913094514 | loss : 0.14583155512809753 | done : False
episode : 59 | score_avg : -405.5608021785063 | loss : -0.0038910226430743933 | done : False
episode : 60 | score_avg : -390.8047219606557 | loss : 0.010456658899784088 | done : False
episode : 61 | score_avg : -380.1242497645901 | loss : 0.21490329504013062 | done : False
episode : 62 | score_avg : -378.46182478813114 | loss : 0.10337880998849869 | done : False
episode : 63 | score_avg : -367.21564230931807 | loss : 0.19656901061534882 | done : False
episode : 64 | score_avg : -358.7440780783863 | loss : 0.010226973332464695 | done : False
episode : 65 | score_avg : -349.86967027054766 | loss : 0.06840004771947861 | done : False
episode : 66 | score_avg : -339.93270324349294 | loss : 0.03742466866970062 | done : False
episode : 67 | score_avg : -334.58943291914363 | loss : 0.05116826295852661 | done : False
episode : 68 | score_avg : -326.1804896272293 | loss : 0.027211671695113182 | done : False
episode : 69 | score_avg : -324.9124406645064 | loss : 0.024723421782255173 | done : False
episode : 70 | score_avg : -318.5211965980558 | loss : 0.03871399164199829 | done : False
episode : 71 | score_avg : -311.7190769382502 | loss : 0.275458425283432 | done : False
episode : 72 | score_avg : -311.9971692444252 | loss : 0.11891461908817291 | done : False
episode : 73 | score_avg : -326.89745231998273 | loss : 0.16639666259288788 | done : False
episode : 74 | score_avg : -323.7077070879845 | loss : 0.02538115344941616 | done : False
episode : 75 | score_avg : -324.78693637918605 | loss : 0.000968804641161114 | done : False
episode : 76 | score_avg : -322.4082427412675 | loss : 0.1027304008603096 | done : False
episode : 77 | score_avg : -317.36741846714074 | loss : -0.0013135416666045785 | done : False
episode : 78 | score_avg : -310.6806766204267 | loss : 0.24783086776733398 | done : False
episode : 79 | score_avg : -311.762608958384 | loss : 0.2835712432861328 | done : False
episode : 80 | score_avg : -309.6863480625457 | loss : 0.004177798982709646 | done : False
episode : 0 | score_avg : -601 | loss : 10.153647422790527 | done : False
episode : 0 | score_avg : -601 | loss : 10.213497161865234 | done : False
episode : 1 | score_avg : -567.05 | loss : 0.08217716962099075 | done : False
episode : 2 | score_avg : -554.045 | loss : 0.05927775800228119 | done : False
episode : 3 | score_avg : -535.0905 | loss : 0.0549343004822731 | done : False
episode : 4 | score_avg : -513.7814500000001 | loss : 0.031044159084558487 | done : False
episode : 5 | score_avg : -499.65330500000005 | loss : 0.23979304730892181 | done : False
episode : 6 | score_avg : -496.0379745000001 | loss : 0.20771479606628418 | done : False
episode : 7 | score_avg : -490.4841770500001 | loss : 0.0059393541887402534 | done : False
episode : 8 | score_avg : -487.43575934500006 | loss : 0.2473122775554657 | done : False
episode : 9 | score_avg : -470.4421834105001 | loss : 0.8039838075637817 | done : False
episode : 10 | score_avg : -451.5479650694501 | loss : 0.03706881403923035 | done : False
episode : 11 | score_avg : -431.4431685625051 | loss : 0.09622398018836975 | done : False
episode : 12 | score_avg : -413.8488517062546 | loss : 0.13120631873607635 | done : False
episode : 13 | score_avg : -397.51396653562915 | loss : 0.08206049352884293 | done : False
episode : 14 | score_avg : -382.81256988206627 | loss : -0.005881002172827721 | done : False
episode : 15 | score_avg : -391.1313128938597 | loss : 0.06452301144599915 | done : False
episode : 16 | score_avg : -380.11818160447376 | loss : 0.19576811790466309 | done : False
episode : 17 | score_avg : -382.7563634440264 | loss : 0.20406483113765717 | done : False
episode : 18 | score_avg : -332.63072709962375 | loss : 0.7466152906417847 | done : False
episode : 19 | score_avg : -324.86765438966137 | loss : 0.016207879409193993 | done : False
episode : 20 | score_avg : -322.18088895069525 | loss : 0.37250784039497375 | done : False
episode : 21 | score_avg : -317.21280005562573 | loss : 0.01397714763879776 | done : False
episode : 22 | score_avg : -310.5415200500632 | loss : -0.02353946678340435 | done : False
episode : 23 | score_avg : -304.5373680450569 | loss : -0.028100423514842987 | done : False
episode : 24 | score_avg : -302.3336312405512 | loss : -0.0005981955328024924 | done : False
episode : 25 | score_avg : -298.50026811649604 | loss : 0.009104234166443348 | done : False
episode : 26 | score_avg : -315.2502413048465 | loss : 0.02577986940741539 | done : False
episode : 27 | score_avg : -343.82521717436185 | loss : 10.000402450561523 | done : False
episode : 28 | score_avg : -330.2426954569257 | loss : 1.5025256872177124 | done : False
episode : 29 | score_avg : -330.31842591123313 | loss : 0.516098141670227 | done : False
episode : 30 | score_avg : -303.68658332010983 | loss : 4.835341930389404 | done : True
episode : 31 | score_avg : -284.51792498809886 | loss : 2.5395102500915527 | done : True
episode : 32 | score_avg : -283.066132489289 | loss : 0.47585275769233704 | done : False
episode : 33 | score_avg : -279.8095192403601 | loss : 0.08126931637525558 | done : False
episode : 34 | score_avg : -276.8785673163241 | loss : 0.01263283658772707 | done : False
episode : 35 | score_avg : -249.1407105846917 | loss : 19.36896324157715 | done : True
episode : 36 | score_avg : -250.72663952622253 | loss : -0.02571292035281658 | done : False
episode : 37 | score_avg : -251.9039755736003 | loss : 0.19406381249427795 | done : False
episode : 38 | score_avg : -253.41357801624025 | loss : -0.029133310541510582 | done : False
episode : 39 | score_avg : -243.97222021461624 | loss : 1.4339007139205933 | done : True
episode : 40 | score_avg : -221.97499819315462 | loss : 1.6204816102981567 | done : False
episode : 41 | score_avg : -227.27749837383917 | loss : 0.08671890944242477 | done : False
episode : 42 | score_avg : -231.99974853645523 | loss : 0.051898084580898285 | done : False
episode : 43 | score_avg : -233.8497736828097 | loss : -0.028810560703277588 | done : False
episode : 44 | score_avg : -237.06479631452873 | loss : 0.0081106498837471 | done : False
episode : 45 | score_avg : -256.3083166830759 | loss : 0.015459636226296425 | done : False
episode : 46 | score_avg : -255.7274850147683 | loss : 0.0011487921001389623 | done : False
episode : 47 | score_avg : -255.20473651329146 | loss : -0.004915472585707903 | done : False
episode : 48 | score_avg : -275.8342628619623 | loss : 0.022704187780618668 | done : False
episode : 49 | score_avg : -273.3008365757661 | loss : 0.6893077492713928 | done : False
episode : 50 | score_avg : -269.8207529181895 | loss : 1.5335161685943604 | done : False
episode : 51 | score_avg : -267.88867762637057 | loss : 0.004307347349822521 | done : False
episode : 52 | score_avg : -241.29980986373351 | loss : 11.895944595336914 | done : True
episode : 53 | score_avg : -244.31982887736018 | loss : 0.12992453575134277 | done : False
episode : 54 | score_avg : -249.28784598962417 | loss : 0.044952910393476486 | done : False
episode : 55 | score_avg : -284.45906139066176 | loss : 10.180082321166992 | done : False
