episode : 0 | score_avg : -325.5 | loss : -0.025397522374987602 | done : False
episode : 1 | score_avg : -340.0 | loss : 0.04937756434082985 | done : False
episode : 2 | score_avg : -333.45 | loss : 0.1809060126543045 | done : False
episode : 3 | score_avg : -335.605 | loss : 0.6090819239616394 | done : False
episode : 4 | score_avg : -362.14450000000005 | loss : 10.140900611877441 | done : False
episode : 5 | score_avg : -341.5300500000001 | loss : 1.9869263172149658 | done : True
episode : 6 | score_avg : -340.4770450000001 | loss : 0.40352872014045715 | done : False
episode : 7 | score_avg : -351.7293405000001 | loss : 0.11893439292907715 | done : False
episode : 8 | score_avg : -362.20640645000015 | loss : 0.05953593924641609 | done : False
episode : 9 | score_avg : -372.78576580500015 | loss : -0.020397523418068886 | done : False
episode : 10 | score_avg : -382.00718922450017 | loss : -0.007752812467515469 | done : False
episode : 11 | score_avg : -376.75647030205016 | loss : 0.23917707800865173 | done : False
episode : 12 | score_avg : -364.13082327184514 | loss : 0.00803795550018549 | done : False
episode : 13 | score_avg : -365.31774094466067 | loss : 0.31232693791389465 | done : False
episode : 14 | score_avg : -388.8859668501946 | loss : 10.152427673339844 | done : False
episode : 15 | score_avg : -410.09737016517516 | loss : 10.013716697692871 | done : False
episode : 16 | score_avg : -404.18763314865765 | loss : 0.4322401285171509 | done : False
episode : 17 | score_avg : -388.8188698337919 | loss : 0.571057915687561 | done : False
episode : 18 | score_avg : -410.03698285041276 | loss : 10.16479206085205 | done : False
episode : 19 | score_avg : -429.1332845653715 | loss : 9.959288597106934 | done : False
episode : 20 | score_avg : -430.16995610883436 | loss : 0.47762295603752136 | done : False
episode : 21 | score_avg : -436.3529604979509 | loss : 0.11658143997192383 | done : False
episode : 22 | score_avg : -440.3676644481558 | loss : 0.06315208971500397 | done : False
episode : 23 | score_avg : -456.43089800334025 | loss : 10.030597686767578 | done : False
episode : 24 | score_avg : -453.8878082030063 | loss : 0.9970197081565857 | done : False
episode : 25 | score_avg : -449.8490273827057 | loss : 2.020707130432129 | done : False
episode : 26 | score_avg : -464.9641246444352 | loss : 10.254612922668457 | done : False
episode : 27 | score_avg : -449.7177121799917 | loss : 0.14310669898986816 | done : False
episode : 28 | score_avg : -464.84594096199254 | loss : 10.045734405517578 | done : False
episode : 29 | score_avg : -478.4613468657933 | loss : 10.06380558013916 | done : False
episode : 30 | score_avg : -432.865212179214 | loss : 28.254905700683594 | done : True
episode : 31 | score_avg : -431.3786909612926 | loss : 0.30907008051872253 | done : False
episode : 32 | score_avg : -417.04082186516337 | loss : 0.9598196744918823 | done : False
episode : 33 | score_avg : -401.03673967864705 | loss : 0.03449323773384094 | done : False
episode : 34 | score_avg : -385.98306571078234 | loss : 0.1042400449514389 | done : False
episode : 35 | score_avg : -372.4347591397041 | loss : 0.08129505068063736 | done : False
episode : 36 | score_avg : -395.2912832257337 | loss : 10.083930015563965 | done : False
episode : 37 | score_avg : -382.26215490316036 | loss : 0.0794416293501854 | done : False
episode : 38 | score_avg : -370.03593941284436 | loss : -0.01843016967177391 | done : False
episode : 39 | score_avg : -372.98234547155994 | loss : 0.22974717617034912 | done : False
episode : 40 | score_avg : -362.68411092440397 | loss : 0.02467038854956627 | done : False
episode : 41 | score_avg : -351.4656998319636 | loss : 0.022763140499591827 | done : False
episode : 42 | score_avg : -341.9191298487673 | loss : 0.2957777976989746 | done : False
episode : 43 | score_avg : -332.7772168638906 | loss : 0.07092394679784775 | done : False
episode : 44 | score_avg : -325.14949517750154 | loss : -0.014791738241910934 | done : False
episode : 45 | score_avg : -326.33454565975137 | loss : 0.019954878836870193 | done : False
