episode : 0 | score_avg : -20.5 | loss : 1.5289108753204346 | sigma : 1.1134741306304932 | done : True
episode : 1 | score_avg : -7.849999999999998 | loss : 0.7210136651992798 | sigma : 1.1148582696914673 | done : True
episode : 2 | score_avg : -4.214999999999998 | loss : 2.6976420879364014 | sigma : 1.1150975227355957 | done : True
episode : 3 | score_avg : 0.15650000000000164 | loss : 3.511199951171875 | sigma : 1.1090070009231567 | done : True
episode : 4 | score_avg : 2.190850000000002 | loss : 8.240984916687012 | sigma : 1.1109066009521484 | done : True
episode : 5 | score_avg : 5.921765000000002 | loss : 1.7481755018234253 | sigma : 1.1061384677886963 | done : True
episode : 6 | score_avg : 8.829588500000003 | loss : 2.4483866691589355 | sigma : 1.100407361984253 | done : True
episode : 7 | score_avg : 5.346629650000002 | loss : 1.1284278631210327 | sigma : 1.1022675037384033 | done : True
episode : 8 | score_avg : 10.561966685000002 | loss : 0.6838847994804382 | sigma : 1.1093735694885254 | done : True
episode : 9 | score_avg : 18.5057700165 | loss : 0.37703993916511536 | sigma : 1.110461950302124 | done : True
episode : 10 | score_avg : 17.955193014850003 | loss : 103.00454711914062 | sigma : 1.1076794862747192 | done : True
episode : 11 | score_avg : 24.759673713365004 | loss : 1.0704917907714844 | sigma : 1.1001641750335693 | done : True
episode : 12 | score_avg : 36.28370634202851 | loss : 1.1729638576507568 | sigma : 1.0971828699111938 | done : True
episode : 13 | score_avg : 41.35533570782566 | loss : 5.079261779785156 | sigma : 1.0861241817474365 | done : True
episode : 14 | score_avg : 37.9698021370431 | loss : 31.634708404541016 | sigma : 1.089361548423767 | done : True
episode : 15 | score_avg : 40.322821923338786 | loss : 0.41369956731796265 | sigma : 1.072186827659607 | done : False
episode : 16 | score_avg : 38.790539731004905 | loss : 79.07264709472656 | sigma : 1.0386217832565308 | done : True
episode : 17 | score_avg : 37.01148575790442 | loss : 85.5858383178711 | sigma : 1.0310475826263428 | done : True
episode : 18 | score_avg : 34.060337182113976 | loss : 12.082813262939453 | sigma : 1.0281729698181152 | done : True
episode : 19 | score_avg : 32.10430346390258 | loss : 3.776336669921875 | sigma : 1.0282057523727417 | done : True
episode : 20 | score_avg : 33.49387311751232 | loss : 15.45557975769043 | sigma : 1.027988076210022 | done : True
episode : 21 | score_avg : 9.39448580576109 | loss : 1.0518693923950195 | sigma : 1.0326772928237915 | done : False
