episode : 0 | score_avg : -201 | loss : 0.7259905338287354 | sigma : 1.1069419384002686 | done : False
episode : 0 | score_avg : -24.5 | loss : 2.7919352054595947 | sigma : 1.1048883199691772 | done : True
episode : 1 | score_avg : -24.650000000000002 | loss : 1.747100830078125 | sigma : 1.1039944887161255 | done : True
episode : 2 | score_avg : -25.785000000000004 | loss : 0.6875696182250977 | sigma : 1.1040279865264893 | done : True
episode : 3 | score_avg : -27.156500000000005 | loss : 0.23275823891162872 | sigma : 1.102960228919983 | done : True
episode : 4 | score_avg : -23.940850000000005 | loss : 0.7595906853675842 | sigma : 1.0939877033233643 | done : True
episode : 5 | score_avg : -1.4467650000000027 | loss : 0.8950134515762329 | sigma : 1.090837001800537 | done : False
episode : 6 | score_avg : 18.497911499999997 | loss : 0.7411706447601318 | sigma : 1.0887943506240845 | done : False
episode : 7 | score_avg : 16.84812035 | loss : 3.6751537322998047 | sigma : 1.0871268510818481 | done : True
episode : 8 | score_avg : 33.313308315 | loss : 0.6087108850479126 | sigma : 1.0808314085006714 | done : False
episode : 9 | score_avg : 26.9819774835 | loss : 16.36385154724121 | sigma : 1.0847610235214233 | done : True
episode : 10 | score_avg : 20.983779735149998 | loss : 18.685911178588867 | sigma : 1.0757029056549072 | done : True
episode : 11 | score_avg : 35.835401761635 | loss : 0.49226391315460205 | sigma : 1.0633230209350586 | done : False
episode : 12 | score_avg : 30.751861585471502 | loss : 157.89109802246094 | sigma : 1.0626823902130127 | done : True
episode : 13 | score_avg : 21.67667542692435 | loss : 9.057267189025879 | sigma : 1.0615345239639282 | done : True
episode : 14 | score_avg : 24.90900788423192 | loss : 1.1282100677490234 | sigma : 1.0735353231430054 | done : False
episode : 15 | score_avg : 39.96810709580873 | loss : 0.4088846743106842 | sigma : 1.09119713306427 | done : False
episode : 16 | score_avg : 48.921296386227866 | loss : 0.4513337314128876 | sigma : 1.0562608242034912 | done : False
episode : 17 | score_avg : 57.979166747605085 | loss : 0.39832502603530884 | sigma : 1.0374253988265991 | done : False
episode : 18 | score_avg : 46.93125007284458 | loss : 30.611055374145508 | sigma : 1.0274195671081543 | done : True
episode : 19 | score_avg : 58.73812506556012 | loss : 0.3163376748561859 | sigma : 1.0362225770950317 | done : False
episode : 20 | score_avg : 68.01431255900411 | loss : 0.3293260931968689 | sigma : 1.0403705835342407 | done : False
episode : 21 | score_avg : 81.3128813031037 | loss : 0.11090340465307236 | sigma : 1.0314619541168213 | done : False
episode : 22 | score_avg : 93.28159317279332 | loss : 0.061087578535079956 | sigma : 1.022842526435852 | done : False
episode : 23 | score_avg : 79.853433855514 | loss : 92.79878997802734 | sigma : 1.0124372243881226 | done : True
episode : 24 | score_avg : 69.5680904699626 | loss : 62.684112548828125 | sigma : 1.0016882419586182 | done : True
episode : 25 | score_avg : 61.711281422966344 | loss : 93.64657592773438 | sigma : 0.982732355594635 | done : True
episode : 26 | score_avg : 75.64015328066972 | loss : 0.04628211259841919 | sigma : 0.9715781211853027 | done : False
episode : 27 | score_avg : 88.17613795260274 | loss : 0.016111265867948532 | sigma : 0.9522568583488464 | done : False
episode : 28 | score_avg : 79.20852415734247 | loss : 121.62179565429688 | sigma : 0.9423994421958923 | done : True
episode : 29 | score_avg : 90.63767174160822 | loss : 0.05151211470365524 | sigma : 0.9447101354598999 | done : False
episode : 30 | score_avg : 80.3739045674474 | loss : 2576.685791015625 | sigma : 0.9475151896476746 | done : True
episode : 31 | score_avg : 89.73651411070267 | loss : 0.18493519723415375 | sigma : 0.9617130160331726 | done : False
episode : 32 | score_avg : 79.5628626996324 | loss : 2741.636474609375 | sigma : 0.9899311065673828 | done : True
episode : 33 | score_avg : 70.85657642966916 | loss : 153.47213745117188 | sigma : 0.987012505531311 | done : True
