episode : 0 | score_avg : -100 | loss : 0.3184604346752167 | sigma : 1.1141232252120972 | done : False
episode : 0 | score_avg : -68.31637608937791 | loss : 0.6531893610954285 | sigma : 1.0975170135498047 | done : False
frame over 300 | episode : 0 | score_avg : 170.21828052864106 | loss : 0.30081284046173096 | sigma : 1.1032686233520508 | done : False
frame over 300 | episode : 1 | score_avg : 164.2524925522428 | loss : 0.3269364535808563 | sigma : 1.094740867614746 | done : False
frame over 300 | episode : 2 | score_avg : 167.66449750377654 | loss : 0.2024739384651184 | sigma : 1.083889126777649 | done : False
frame over 100 | episode : 3 | score_avg : 140.89804775339888 | loss : 0.47127968072891235 | sigma : 1.0791484117507935 | done : False
frame over 100 | episode : 4 | score_avg : 116.808242978059 | loss : 0.6963533163070679 | sigma : 1.0789124965667725 | done : False
frame over 100 | episode : 5 | score_avg : 95.1274186802531 | loss : 0.4621407985687256 | sigma : 1.0743352174758911 | done : False
frame over 100 | episode : 6 | score_avg : 75.6146768122278 | loss : 0.24013006687164307 | sigma : 1.081011176109314 | done : False
frame over 100 | episode : 7 | score_avg : 62.52591317881176 | loss : 1.0715538263320923 | sigma : 1.078579068183899 | done : False
frame over 100 | episode : 8 | score_avg : 47.28898805762551 | loss : 1.6094059944152832 | sigma : 1.074489951133728 | done : False
frame over 100 | episode : 9 | score_avg : 34.25451652742107 | loss : 1.2612035274505615 | sigma : 1.0770632028579712 | done : False
frame over 100 | episode : 10 | score_avg : 20.829064874678963 | loss : 0.9526342153549194 | sigma : 1.0707401037216187 | done : False
frame over 100 | episode : 11 | score_avg : 8.746158387211068 | loss : 0.2141396403312683 | sigma : 1.0697951316833496 | done : False
frame over 100 | episode : 12 | score_avg : -2.1284574515100383 | loss : 0.17151524126529694 | sigma : 1.0670826435089111 | done : False
frame over 100 | episode : 13 | score_avg : -11.915611706359034 | loss : 0.42272141575813293 | sigma : 1.0637916326522827 | done : False
frame over 100 | episode : 14 | score_avg : -20.72405053572313 | loss : 0.12526078522205353 | sigma : 1.0620356798171997 | done : False
frame over 100 | episode : 15 | score_avg : -28.65164548215082 | loss : 1.6470293998718262 | sigma : 1.0572680234909058 | done : False
frame over 100 | episode : 16 | score_avg : -35.786480933935735 | loss : 3.7505195140838623 | sigma : 1.0582783222198486 | done : False
frame over 100 | episode : 17 | score_avg : -42.20783284054216 | loss : 0.2370169311761856 | sigma : 1.0616352558135986 | done : False
frame over 100 | episode : 18 | score_avg : -47.29697504860157 | loss : 0.24594102799892426 | sigma : 1.05990469455719 | done : False
frame over 300 | episode : 19 | score_avg : -25.728951519395725 | loss : 0.948944091796875 | sigma : 1.0656936168670654 | done : False
frame over 100 | episode : 20 | score_avg : -33.15605636745615 | loss : 0.09454404562711716 | sigma : 1.0585402250289917 | done : False
frame over 100 | episode : 21 | score_avg : -23.002153647562274 | loss : 0.989861249923706 | sigma : 1.0658286809921265 | done : False
frame over 100 | episode : 22 | score_avg : -21.804787137878936 | loss : 5.281805992126465 | sigma : 1.0633881092071533 | done : False
frame over 300 | episode : 23 | score_avg : -3.130469426669187 | loss : 0.1699105203151703 | sigma : 1.066939115524292 | done : False
frame over 300 | episode : 24 | score_avg : 19.536942755925118 | loss : 7.32356071472168 | sigma : 1.0782335996627808 | done : False
frame over 100 | episode : 25 | score_avg : 7.583248480332607 | loss : 2.1346819400787354 | sigma : 1.0823301076889038 | done : False
frame over 100 | episode : 26 | score_avg : -3.1750763677006537 | loss : 4.459211826324463 | sigma : 1.088887095451355 | done : False
frame over 100 | episode : 27 | score_avg : -12.857568730930588 | loss : 0.014040479436516762 | sigma : 1.082061767578125 | done : False
frame over 100 | episode : 28 | score_avg : -21.57181185783753 | loss : 0.2098602056503296 | sigma : 1.077038288116455 | done : False
frame over 100 | episode : 29 | score_avg : -29.41463067205378 | loss : -0.0015626593958586454 | sigma : 1.0612776279449463 | done : False
frame over 100 | episode : 30 | score_avg : -36.4731676048484 | loss : -0.0054382337257266045 | sigma : 1.0484908819198608 | done : False
frame over 100 | episode : 31 | score_avg : -42.622922975768326 | loss : 26.570098876953125 | sigma : 1.0406486988067627 | done : False
frame over 100 | episode : 32 | score_avg : -48.36063067819149 | loss : -0.005045262631028891 | sigma : 1.0451972484588623 | done : False
frame over 100 | episode : 33 | score_avg : -50.00245730650938 | loss : 5.57621431350708 | sigma : 1.049183964729309 | done : False
